start	end	tok	normtok	lemma	pos	rfpos	coreference	dependency	parentID	NER	sentstart	senID	stwr	frame	speaker	intexpr	note
0	2	Und	Und	und	KON	CONJ.Coord.-	-	root	0	-	yes	0	direct.speech.1	-	-	-	-
4	9	morgen	morgen	morgen	ADV	ADV	-	adv	2	-	no	0	direct.speech.1	-	-	-	-
11	15	sing'	sing	sing	NE	VIMP.Full.2.Sg	-	cj	0	-	no	0	direct.speech.1	-	-	-	-
17	19	ich	ich	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	6|11	subj	2	-	no	0	direct.speech.1	-	-	-	-
21	26	wieder	wieder	wieder	ADV	ADV	-	adv	2	-	no	0	direct.speech.1	-	-	-	-
28	28	;	;	--	$.	SYM.Pun.Sent	-	root	5	-	no	0	direct.speech.1	-	-	-	-
30	32	ich	ich	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	3|11	subj	7	-	no	0	direct.speech.1	frame.2	speaker.2	-	-
34	37	weiß	weiß	weiß	VVFIN	VFIN.Full.1.Sg.Pres.Ind	-	root	7	-	no	0	direct.speech.1	frame.2	-	intexpr.2	-
39	43	nicht	nicht	nicht	PTKNEG	PART.Neg	-	adv	7	-	no	0	direct.speech.1	frame.2	-	-	-
45	45	,	,	--	$,	SYM.Pun.Comma	-	root	9	-	no	0	direct.speech.1	frame.2	-	-	-
47	51	warum	warum	warum	PWAV	PROADV.Inter	-	adv	13	-	no	0	direct.speech.1|indirect.thought.2.nonfact.border=state	-	-	-	-
53	55	ich	ich	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	3|6	subj	13	-	no	0	direct.speech.1|indirect.thought.2.nonfact.border=state	-	-	-	-
57	61	nicht	nicht	nicht	PTKNEG	PART.Neg	-	adv	13	-	no	0	direct.speech.1|indirect.thought.2.nonfact.border=state	-	-	-	-
63	66	soll	soll	sollen	VMFIN	VFIN.Mod.1.Sg.Pres.Ind	-	objc	7	-	no	0	direct.speech.1|indirect.thought.2.nonfact.border=state	-	-	-	-
68	68	.	&quot;	&quot;	$(	FM	-	root	14	-	no	0	direct.speech.1|indirect.thought.2.nonfact.border=state	-	-	-	-
70	70	«	&quot;	&quot;	$(	FM	-	root	15	-	no	0	direct.speech.1	-	-	-	-
72	73	Er	Er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	31	subj	17	-	yes	1	-	-	-	-	-
75	79	stand	stand	aufstehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	root	17	-	no	1	-	-	-	-	-
81	92	geräuschvoll	geräuschvoll	geräuschvoll	ADJD	ADJD.Pos	-	adv	17	-	no	1	-	-	-	-	-
94	96	vom	vom	von	APPRART	APPRART.Dat.Sg.Masc	-	pp	17	-	no	1	-	-	-	-	-
98	103	Stuhle	Stuhle	Stuhle	NN	N.Reg.Dat.Sg.Masc	-	pn	19	-	no	1	-	-	-	-	-
105	107	auf	auf	auf	PTKVZ	PART.Verb	-	avz	17	-	no	1	-	-	-	-	-
109	111	und	und	und	KON	CONJ.Coord.-	-	kon	17	-	no	1	-	-	-	-	-
113	116	ging	ging	hingehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	cj	22	-	no	1	-	-	-	-	-
118	120	mit	mit	mit	APPR	APPR.Dat	-	pp	23	-	no	1	-	-	-	-	-
122	127	lauten	lauten	laut	ADJA	ADJA.Pos.Dat.Pl.Masc	33	attr	26	-	no	1	-	-	-	-	-
129	135	Tritten	Tritten	Tritt	NN	N.Reg.Dat.Pl.Masc	33	pn	24	-	no	1	-	-	-	-	-
137	139	hin	hin	hin	PTKVZ	PART.Verb	-	adv	23	-	no	1	-	-	-	-	-
141	143	und	und	und	KON	CONJ.Coord.-	-	root	28	-	no	1	-	-	-	-	-
145	147	her	her	her	PTKVZ	PART.Verb	-	root	29	-	no	1	-	-	-	-	-
149	149	.	.	--	$.	SYM.Pun.Sent	-	root	30	-	no	1	-	-	-	-	-
151	152	Er	Er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	16	subj	32	-	yes	2	-	-	-	-	-
154	159	wollte	wollte	wollen	VMFIN	VFIN.Mod.3.Sg.Past.Ind	-	root	32	-	no	2	-	-	-	-	-
161	163	sie	sie	sie	PPER	PRO.Pers.Subst.3.Acc.Sg.Fem	25|26	obja	34	-	no	2	-	-	-	-	-
165	177	einschüchtern	einschüchtern	einschüchtern	VVINF	VINF.Full.-	-	aux	32	-	no	2	-	-	-	-	-
179	179	.	.	--	$.	SYM.Pun.Sent	-	root	35	-	no	2	-	-	-	-	-
181	183	Sie	Sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	46|51|57|69|74|87|90|100|105|122	subj	37	-	yes	3	-	-	-	-	-
185	189	erhob	erhob	erheben	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	root	37	-	no	3	-	-	-	-	-
191	194	sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	-	obja	37	-	no	3	-	-	-	-	-
196	200	ruhig	ruhig	ruhig	ADJD	ADJD.Pos	-	adv	37	-	no	3	-	-	-	-	-
202	204	und	und	und	KON	CONJ.Coord.-	-	kon	37	-	no	3	-	-	-	-	-
206	210	stand	stand	stehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	cj	40	-	no	3	-	-	-	-	-
212	213	da	da	da	ADV	ADV	-	adv	41	-	no	3	-	-	-	-	-
215	215	,	,	--	$,	SYM.Pun.Comma	-	root	43	-	no	3	-	-	-	-	-
217	219	als	als	als	KOKOM	CONJ.Comp.-	-	konj	45	-	no	3	reported.thought.3.nonfact	-	-	-	-
221	227	erwarte	erwarte	erwarten	VVFIN	VFIN.Full.3.Sg.Pres.Subj	-	neb	41	-	no	3	reported.thought.3.nonfact	-	-	intexpr.3	-
229	231	sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	36|51|57|69|74|87|90|100|105|122	subj	45	-	no	3	reported.thought.3.nonfact	-	speaker.3	-	-
233	237	einen	einen	ein	ART	ART.Indef.Acc.Sg.Masc	50|55	det	48	-	no	3	reported.thought.3.nonfact	-	-	-	-
239	245	Angriff	Angriff	Angriff	NN	N.Reg.Acc.Sg.Masc	50|55	obja	45	-	no	3	reported.thought.3.nonfact	-	-	-	-
247	247	,	,	--	$,	SYM.Pun.Comma	-	root	49	-	no	3	reported.thought.3.nonfact	-	-	-	-
249	251	den	den	der	PRELS	PRO.Rel.Subst.-.Acc.Sg.Masc	47|48|55	obja	53	-	no	3	reported.thought.3.nonfact	-	-	-	-
253	255	sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	36|46|57|69|74|87|90|100|105|122	subj	53	-	no	3	reported.thought.3.nonfact	-	-	-	-
257	261	nicht	nicht	nicht	PTKNEG	PART.Neg	-	adv	53	-	no	3	reported.thought.3.nonfact	-	-	-	-
263	271	fürchtete	fürchtete	fürchten	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	rel	48	-	no	3	reported.thought.3.nonfact	-	-	-	-
273	273	.	.	--	$.	SYM.Pun.Sent	-	root	54	-	no	3	reported.thought.3.nonfact	-	-	-	-
275	276	Er	Er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	47|48|50	subj	56	-	yes	4	-	-	-	-	-
278	281	trat	trat	treten	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	root	56	-	no	4	-	-	-	-	-
283	285	ihr	ihr	ihr	PPER	PRO.Pers.Subst.3.Dat.Sg.Fem	36|46|51|69|74|87|90|100|105|122	root	57	-	no	4	-	-	-	-	-
287	289	nah	nah	nah	ADJD	ADJD.Pos	-	root	58	-	no	4	-	-	-	-	-
291	291	,	,	--	$,	SYM.Pun.Comma	-	root	59	-	no	4	-	-	-	-	-
293	298	lachte	lachte	lachen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	root	60	-	no	4	-	-	-	-	-
300	305	heiser	heiser	heise	ADJD	ADJD.Pos	-	adv	60	-	no	4	-	-	-	-	-
307	309	und	und	und	KON	CONJ.Coord.-	-	kon	60	-	no	4	-	-	-	-	-
311	316	machte	machte	machen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	cj	62	-	no	4	-	-	-	-	-
318	321	eine	eine	ein	ART	ART.Indef.Acc.Sg.Fem	68	det	65	-	no	4	-	-	-	-	-
323	334	Handbewegung	Handbewegung	Handbewegung	NN	N.Reg.Acc.Sg.Fem	68	obja	63	-	no	4	-	-	-	-	-
336	336	,	,	--	$,	SYM.Pun.Comma	-	root	66	-	no	4	-	-	-	-	-
338	340	vor	vor	vor	APPR	APPR.Vor	-	pp	71	-	no	4	-	-	-	-	-
342	344	der	der	der	PRELS	PRO.Rel.Subst.-.Dat.Sg.Fem	64|65	pn	67	-	no	4	-	-	-	-	-
346	348	sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	36|46|51|57|74|87|90|100|105|122	subj	72	-	no	4	-	-	-	-	-
