start	end	tok	normtok	lemma	pos	rfpos	coreference	dependency	parentID	NER	sentstart	senID	stwr	frame	speaker	intexpr	note
0	1	Du	Du	du	PPER	PRO.Pers.Subst.2.Nom.Sg.*	23	subj	1	-	yes	0	direct.speech.17	-	-	-	-
3	7	wirst	wirst	werden	VAFIN	VFIN.Aux.2.Sg.Pres.Ind	-	root	1	-	no	0	direct.speech.17	-	-	-	-
9	11	ihm	ihm	ihm	PPER	PRO.Pers.Subst.3.Dat.Sg.Masc	-	objd	3	-	no	0	direct.speech.17	-	-	-	-
13	18	folgen	folgen	folgen	VVINF	VINF.Full.-	-	aux	1	-	no	0	direct.speech.17	-	-	-	-
20	20	.	.	--	$.	SYM.Pun.Sent	-	root	4	-	no	0	direct.speech.17	-	-	-	-
22	24	Für	Für	für	APPR	APPR.Acc	-	pp	10	-	yes	1	direct.speech.17	-	-	-	-
26	28	die	die	der	ART	ART.Def.Acc.Pl.Neut	-	det	7	-	no	1	direct.speech.17	-	-	-	-
30	35	Kinder	Kinder	Kind	NN	N.Reg.Acc.Pl.Neut	-	pn	5	-	no	1	direct.speech.17	-	-	-	-
37	39	der	der	der	ART	ART.Def.Gen.Sg.Fem	-	det	9	-	no	1	direct.speech.17	-	-	-	-
41	52	Wiedergeburt	Wiedergeburt	Wiedergeburt	NN	N.Reg.Gen.Sg.Fem	-	gmod	7	-	no	1	direct.speech.17	-	-	-	-
54	58	giebt	gibt	geben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	-	root	10	-	no	1	direct.speech.17	-	-	-	-
60	61	es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	-	subj	10	-	no	1	direct.speech.17	-	-	-	-
63	67	nicht	nicht	nicht	PTKNEG	PART.Neg	-	adv	10	-	no	1	direct.speech.17	-	-	-	-
69	71	das	das	der	PDS	PRO.Dem.Subst.-.Acc.Sg.Neut	-	obja	10	-	no	1	direct.speech.17	-	-	-	-
73	73	,	,	--	$,	SYM.Pun.Comma	-	root	14	-	no	1	direct.speech.17	-	-	-	-
75	77	was	was	was	PRELS	PRO.Rel.Subst.-.Acc.Sg.Neut	-	obja	19	-	no	1	direct.speech.17|reported.speech.1.border=unspec	-	-	-	-
79	81	die	die	der	ART	ART.Def.Nom.Pl.Masc	-	det	17	-	no	1	direct.speech.17|reported.speech.1.border=unspec	-	-	-	-
83	88	Heiden	Heiden	Heide	NN	N.Reg.Nom.Pl.Masc	-	subj	19	-	no	1	direct.speech.17|reported.speech.1.border=unspec	-	speaker.1	-	-
90	92	Tod	Tod	Tod	NN	N.Reg.Acc.Sg.Masc	-	pred	19	-	no	1	direct.speech.17|reported.speech.1.border=unspec	-	-	-	-
94	99	nennen	nennen	nennen	VVINF	VFIN.Full.3.Pl.Pres.Ind	-	rel	13	-	no	1	direct.speech.17|reported.speech.1.border=unspec	-	-	intexpr.1	-
101	101	.	.	--	$.	SYM.Pun.Sent	-	root	20	-	no	1	direct.speech.17|reported.speech.1.border=unspec	-	-	-	-
103	106	Soll	Soll	sollen	VMFIN	VFIN.Mod.1.Sg.Pres.Ind	-	root	21	-	yes	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
108	110	ich	ich	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	32|42|60	subj	21	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	speaker.2	-	-
112	114	dir	dir	dir	PPER	PRO.Pers.Subst.2.Dat.Sg.*	0	objd	30	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
116	118	den	den	der	ART	ART.Def.Acc.Sg.Masc	-	det	25	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
120	124	Psalm	Psalm	Psalm	NN	N.Reg.Acc.Sg.Masc	-	obja	30	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
126	128	von	von	von	APPR	APPR.Dat	-	pp	25	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
130	132	der	der	der	ART	ART.Def.Dat.Sg.Fem	-	det	29	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
134	139	ewigen	ewigen	ewig	ADJA	ADJA.Pos.Dat.Sg.Fem	-	attr	29	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
141	151	Vereinigung	Vereinigung	Vereinigung	NN	N.Reg.Dat.Sg.Fem	-	pn	26	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
153	160	vorlesen	vorlesen	vorlesen	VVINF	VINF.Full.-	-	aux	21	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	intexpr.2	-
162	162	?	?	--	$.	SYM.Pun.Sent	-	root	31	-	no	2	direct.speech.17|reported.speech.2.nonfact	-	-	-	-
164	166	Ich	Ich	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	22|42|60	subj	33	-	yes	3	direct.speech.4	frame.5	speaker.5	-	-
168	174	fürchte	fürchte	fürchen	VVFIN	VFIN.Full.1.Sg.Pres.Ind	-	root	33	-	no	3	direct.speech.4	frame.5	-	intexpr.5	-
176	176	,	,	--	$,	SYM.Pun.Comma	-	root	34	-	no	3	direct.speech.4	frame.5	-	-	-
178	186	Schwester	Schwester	Schwester	NN	N.Reg.Nom.Sg.Fem	-	root	35	-	no	3	direct.speech.4	frame.5	speaker.17	-	-
188	196	Elisabeth	Elisabeth	Elisabeth	NE	N.Name.Nom.Sg.Fem	-	app	35	yes	no	3	direct.speech.4	frame.5	speaker.17	-	-
198	198	,	,	--	$,	SYM.Pun.Comma	-	root	37	-	no	3	direct.speech.4	frame.5	-	-	-
