start	end	tok	normtok	lemma	pos	rfpos	coreference	dependency	parentID	NER	sentstart	senID	stwr	frame	speaker	intexpr	note
0	4	Beide	Beide	beide	PIAT	PRO.Indef.Attr.-.Nom.Pl.Fem	-	det	1	-	yes	0	-	-	-	-	-
6	11	Rotten	Rotten	Rotte	NN	N.Reg.Nom.Pl.Fem	-	subj	2	-	no	0	-	-	-	-	-
13	17	stehn	stehen	stehen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	-	root	2	-	no	0	-	-	-	-	-
19	30	schlagfertig	schlagfertig	schlagfertig	ADJD	ADJD.Pos	-	adv	2	-	no	0	-	-	-	-	-
32	34	Vor	Vor	vor	APPR	APPR.Vor	-	pp	2	-	no	0	-	-	-	-	-
36	38	den	den	der	ART	ART.Def.Dat.Pl.Fem	-	det	6	-	no	0	-	-	-	-	-
40	48	Schranken	Schranken	Schranke	NN	N.Reg.Dat.Pl.Fem	-	pn	4	-	no	0	-	-	-	-	-
50	51	in	in	in	APPR	APPR.In	-	pp	2	-	no	0	-	-	-	-	-
53	55	dem	dem	der	ART	ART.Def.Dat.Sg.Masc	-	det	9	-	no	0	-	-	-	-	-
57	61	Saale	Saale	Saale	NN	N.Reg.Dat.Sg.Masc	-	pn	7	-	no	0	-	-	-	-	-
63	63	,	,	--	$,	SYM.Pun.Comma	-	root	10	-	no	0	-	-	-	-	-
65	67	Und	Und	und	KON	CONJ.Coord.-	-	root	11	-	no	0	-	-	-	-	-
69	71	das	das	der	ART	ART.Def.Nom.Sg.Neut	-	det	13	-	no	0	-	-	-	-	-
73	76	Volk	Volk	Volk	NN	N.Reg.Nom.Sg.Neut	-	cj	11	-	no	0	-	-	-	-	-
78	80	mit	mit	mit	APPR	APPR.Dat	-	pp	17	-	no	0	-	-	-	-	-
82	89	Ungeduld	Ungeduld	Ungeduld	NN	N.Reg.Dat.Sg.Fem	-	pn	14	-	no	0	-	-	-	-	-
