start	end	tok	normtok	lemma	pos	rfpos	coreference	dependency	parentID	NER	sentstart	senID	stwr	frame	speaker	intexpr	note
0	6	Während	Während	während	KOUS	APPR.Gen	-	root	0	-	yes	0	-	-	-	-	-
8	10	der	der	der	ART	ART.Def.Gen.Pl.Fem	-	det	2	-	no	0	-	-	-	-	-
12	18	Unruhen	Unruhen	Unruhe	NN	N.Reg.Gen.Pl.Fem	-	root	2	-	no	0	-	-	-	-	-
20	24	unter	unter	unter	APPR	APPR.Unter	-	pp	2	-	no	0	-	-	-	-	-
26	28	der	der	der	ART	ART.Def.Dat.Sg.Fem	-	det	5	-	no	0	-	-	-	-	-
30	38	Regierung	Regierung	Regierung	NN	N.Reg.Dat.Sg.Fem	-	pn	3	-	no	0	-	-	-	-	-
40	44	Karls	Karls	Karl	NE	N.Name.Gen.Sg.Masc	-	gmod	5	yes	no	0	-	-	-	-	-
46	46	I	I.	I.	NE	ADJA.Pos.Dat.Sg.Masc	-	root	7	-	yes	1	-	-	-	-	-
48	48	.		_		N.Reg.Dat.Sg.Masc	-	root	8	-	yes	2	-	-	-	-	-
50	52	von	von	von	APPR	APPR.Dat	-	pp	11	-	yes	3	-	-	-	-	-
54	60	England	England	England	NE	N.Name.Dat.Sg.Neut	410	pn	9	-	no	3	-	-	-	-	-
62	66	begab	begab	begeben	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	root	11	-	no	3	-	-	-	-	-
68	71	sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	-	obja	11	-	no	3	-	-	-	-	-
73	75	die	die	der	ART	ART.Def.Nom.Sg.Fem	40|56|75|78	det	14	-	no	3	-	-	-	-	-
77	83	Tochter	Tochter	Tochter	NN	N.Reg.Nom.Sg.Fem	40|56|75|78	subj	11	-	no	3	-	-	-	-	-
85	89	eines	eines	ein	ART	ART.Indef.Gen.Sg.Masc	40|56|75|78|18	det	16	-	no	3	-	-	-	-	-
91	96	Bauern	Bauern	Bauer	NN	N.Reg.Gen.Sg.Masc	40|56|75|78|18	gmod	14	-	no	3	-	-	-	-	-
98	98	,	,	--	$,	SYM.Pun.Comma	-	root	17	-	no	3	-	-	-	-	-
100	102	der	der	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	15|16|16	root	18	-	no	3	-	-	-	-	-
104	105	in	in	in	APPR	APPR.In	-	pp	25	-	no	3	-	-	-	-	-
107	111	jenen	jenen	jener	PDAT	PRO.Dem.Attr.-.Dat.Pl.Fem	-	det	22	-	no	3	-	-	-	-	-
113	118	Wirren	Wirren	Wirr	NN	N.Reg.Dat.Pl.Fem	-	attr	22	-	no	3	-	-	-	-	-
